iter	Passed	Remaining
596	20936	14133
597	20997	14115
598	21044	14088
599	21078	14052
600	21112	14016
601	21145	13980
602	21187	13949
603	21228	13918
604	21273	13889
605	21313	13857
606	21349	13822
607	21379	13784
608	21420	13752
609	21455	13717
610	21507	13692
611	21546	13660
612	21583	13626
613	21620	13592
614	21662	13561
615	21712	13534
616	21758	13506
617	21797	13473
618	21847	13447
619	21913	13431
620	22003	13428
621	22072	13413
622	22120	13385
623	22159	13352
624	22195	13317
625	22236	13285
626	22273	13250
627	22308	13214
628	22353	13184
629	22393	13151
630	22424	13113
631	22453	13074
632	22485	13036
633	22519	13000
634	22554	12964
635	22592	12930
636	22639	12901
637	22704	12882
638	22754	12855
639	22812	12832
640	22869	12808
641	22900	12770
642	22964	12750
643	23021	12725
644	23063	12693
645	23122	12670
646	23177	12645
647	23226	12617
648	23261	12580
649	23299	12545
650	23345	12515
651	23399	12489
652	23446	12459
653	23510	12438
654	23560	12409
655	23616	12384
656	23657	12350
657	23710	12323
658	23746	12287
659	23793	12257
660	23843	12228
661	23884	12194
662	23921	12159
663	23956	12122
664	23990	12085
665	24027	12049
666	24059	12011
667	24093	11974
668	24126	11937
669	24171	11905
670	24204	11867
671	24240	11831
672	24275	11795
673	24307	11757
674	24341	11719
675	24373	11681
676	24403	11643
677	24435	11605
678	24468	11567
679	24498	11528
680	24525	11488
681	24558	11450
682	24595	11415
683	24641	11384
684	24674	11346
685	24707	11309
686	24737	11270
687	24773	11234
688	24814	11200
689	24861	11169
690	24898	11133
691	24940	11100
692	24983	11067
693	25025	11034
694	25069	11001
695	25103	10964
696	25142	10929
697	25178	10893
698	25218	10859
699	25251	10822
700	25308	10794
701	25346	10759
702	25382	10723
703	25425	10690
704	25466	10656
705	25504	10621
706	25554	10590
707	25593	10555
708	25782	10581
709	25868	10565
710	25942	10544
711	25995	10514
712	26049	10485
713	26101	10455
714	26148	10422
715	26189	10388
716	26233	10354
717	26276	10320
718	26339	10293
719	26375	10257
720	26418	10222
721	26468	10191
722	26529	10164
723	26609	10143
724	26657	10111
725	26700	10076
726	26755	10046
727	26820	10020
728	26876	9991
729	26925	9958
730	26988	9931
731	27034	9897
732	27080	9864
733	27117	9827
734	27161	9792
735	27205	9758
736	27252	9725
737	27290	9688
738	27334	9653
739	27365	9615
740	27412	9581
741	27450	9544
742	27495	9510
743	27542	9476
744	27581	9440
745	27618	9403
746	27651	9365
747	27684	9326
748	27718	9288
749	27748	9249
750	27778	9210
751	27818	9174
752	27849	9135
753	27880	9096
754	27909	9056
755	27943	9018
756	27976	8980
757	28013	8943
758	28049	8906
759	28077	8866
760	28105	8826
761	28138	8788
762	28168	8749
763	28200	8711
764	28241	8675
765	28276	8637
766	28307	8599
767	28337	8560
768	28365	8520
769	28392	8481
770	28422	8441
771	28464	8406
772	28496	8368
773	28527	8329
774	28560	8291
775	28592	8253
776	28628	8216
777	28665	8179
778	28695	8140
779	28732	8103
780	28763	8065
781	28793	8026
782	28824	7988
783	28851	7948
784	28886	7911
785	28921	7874
786	28951	7835
787	28981	7796
788	29009	7757
789	29038	7719
790	29076	7682
791	29106	7644
792	29129	7603
793	29159	7565
794	29191	7527
795	29217	7487
796	29255	7451
797	29291	7414
798	29322	7376
799	29354	7338
800	29391	7301
801	29425	7264
802	29465	7228
803	29511	7194
804	29564	7161
805	29598	7124
806	29645	7090
807	29684	7053
808	29737	7020
809	29780	6985
810	29817	6948
811	29875	6917
812	29925	6883
813	29975	6849
814	30023	6815
815	30071	6780
816	30126	6748
817	30174	6713
818	30232	6681
819	30286	6648
820	30328	6612
821	30376	6577
822	30415	6541
823	30455	6504
824	30496	6469
825	30548	6435
826	30599	6401
827	30637	6364
828	30693	6331
829	30741	6296
830	30801	6264
831	30842	6227
832	30878	6190
833	30913	6153
834	30945	6114
835	30989	6079
836	31027	6042
837	31059	6004
838	31091	5966
839	31129	5929
840	31161	5891
841	31202	5855
842	31229	5816
843	31260	5778
844	31295	5740
845	31325	5702
846	31358	5664
847	31388	5626
848	31424	5589
849	31459	5551
850	31496	5514
851	31534	5477
852	31567	5440
853	31596	5401
854	31634	5364
855	31667	5327
856	31699	5289
857	31725	5250
858	31763	5213
859	31790	5175
860	31821	5137
861	31858	5100
862	31891	5062
863	31924	5025
864	31954	4987
865	31987	4949
866	32011	4910
867	32043	4872
868	32087	4837
869	32117	4799
870	32149	4761
871	32181	4723
872	32212	4686
873	32257	4650
874	32290	4612
875	32321	4575
876	32351	4537
877	32387	4500
878	32421	4462
879	32457	4425
880	32499	4389
881	32529	4352
882	32568	4315
883	32598	4277
884	32629	4239
885	32657	4201
886	32692	4164
887	32727	4127
888	32758	4090
889	32790	4052
890	32829	4016
891	32860	3978
892	32906	3942
893	32940	3905
894	32986	3869
895	33012	3831
896	33044	3794
897	33088	3758
898	33133	3722
899	33164	3684
900	33199	3647
901	33236	3611
902	33276	3574
903	33323	3538
904	33364	3502
905	33406	3465
906	33480	3432
907	33553	3399
908	33619	3365
909	33687	3331
910	33750	3297
911	33791	3260
912	33841	3224
913	33875	3187
914	33918	3150
915	33971	3115
916	34022	3079
917	34061	3042
918	34101	3005
919	34146	2969
920	34226	2935
921	34418	2911
922	34602	2886
923	34667	2851
924	34713	2814
925	34762	2777
926	34820	2742
927	34870	2705
928	34922	2668
929	34972	2632
930	35048	2597
931	35097	2560
932	35144	2523
933	35202	2487
934	35250	2450
935	35296	2413
936	35346	2376
937	35387	2339
938	35433	2301
939	35489	2265
940	35599	2232
941	35686	2197
942	35738	2160
943	35775	2122
944	35821	2084
945	35856	2046
946	35913	2009
947	35959	1972
948	36010	1935
949	36069	1898
950	36126	1861
951	36170	1823
952	36223	1786
953	36268	1748
954	36316	1711
955	36355	1673
956	36390	1635
957	36433	1597
958	36494	1560
959	36540	1522
960	36587	1484
961	36643	1447
962	36685	1409
963	36741	1372
964	36795	1334
965	36851	1297
966	36900	1259
967	36953	1221
968	36998	1183
969	37040	1145
970	37083	1107
971	37133	1069
972	37183	1031
973	37222	993
974	37262	955
975	37301	917
976	37343	879
977	37383	840
978	37439	803
979	37506	765
980	37601	728
981	37643	690
982	37691	651
983	37725	613
984	37761	575
985	37807	536
986	37853	498
987	37893	460
988	37933	421
989	37968	383
990	38024	345
991	38064	306
992	38113	268
993	38166	230
994	38214	192
995	38257	153
996	38298	115
997	38345	76
998	38384	38
999	38435	0
